S,P,O1,O2,S_perf,P_perf,O1_perf,O2_perf,pos1,pos2,pos3,pos4,subject_id,trial,rt,decision_type,bonus,response,response_n,dec_OC,out_eng,dec_num_n,correct,init,age,sex,version
3,4,2,5,,,,,3,2,1,0,oep739p,22,1686,3,0.5,,0,1,2.5,1,0,SC,16,W,NA
3,4,2,5,,,,,3,2,1,0,oep739p,22,750.4000000022352,1,0.5,,0,1,1.5,2,0,SC,16,W,NA
1,3,4,4,,,,,0,3,2,1,oep739p,23,40.900000002235174,5,0.5,,1,NA,-3.5,1,0,SC,16,W,NA
1,3,4,4,,,,,0,3,2,1,oep739p,23,67.5,2,0.5,,0,2,-2.5,2,1,SC,16,W,NA
3,2,2,2,,,,,2,0,1,3,oep739p,24,3962.2999999970198,1,-0.5,,1,1,0.5,1,1,SC,16,W,NA
3,2,2,2,,,,,2,0,1,3,oep739p,24,1528.5,5,0.5,,0,NA,1.5,2,0,SC,16,W,NA
3,5,3,0,,,,,1,2,0,3,oep739p,25,622.8999999985099,5,0.5,,1,NA,5.5,1,1,SC,16,W,NA
3,5,3,0,,,,,1,2,0,3,oep739p,25,410.5999999977648,4,0.5,,0,2,5.5,2,0,SC,16,W,NA
4,5,5,5,,,,,1,3,2,0,oep739p,26,1449.800000000745,1,-0.5,,1,1,-1.5,1,0,SC,16,W,NA
4,5,5,5,,,,,1,3,2,0,oep739p,26,559.2000000029802,4,-0.5,,0,2,-0.5,2,1,SC,16,W,NA
6,2,5,4,,,,,0,1,2,3,oep739p,27,457.79999999701977,3,0.5,,1,1,-2.5,1,0,SC,16,W,NA
6,2,5,4,,,,,0,1,2,3,oep739p,27,299.1000000014901,2,-0.5,,0,2,1.5,2,0,SC,16,W,NA
4,2,6,2,,,,,1,0,3,2,oep739p,28,465.9000000022352,5,-0.5,,0,NA,-2.5,1,1,SC,16,W,NA
4,2,6,2,,,,,1,0,3,2,oep739p,28,16.600000001490116,2,0.5,,1,2,2.5,2,1,SC,16,W,NA
2,4,2,3,,,,,0,3,1,2,oep739p,29,367.6000000014901,5,0.5,,1,NA,1.5,1,1,SC,16,W,NA
2,4,2,3,,,,,0,3,1,2,oep739p,29,255.5,1,0.5,,0,1,0.5,2,0,SC,16,W,NA
3,3,5,3,,,,,2,3,1,0,oep739p,30,169,5,0.5,,0,NA,-1.5,1,1,SC,16,W,NA
3,3,5,3,,,,,2,3,1,0,oep739p,30,2092.199999999255,3,-0.5,,0,1,-2.5,2,1,SC,16,W,NA
3,3,4,4,,,,,2,1,3,0,oep739p,31,858.8999999985099,2,-0.5,,0,2,-1.5,1,1,SC,16,W,NA
3,3,4,4,,,,,2,1,3,0,oep739p,31,623.6999999992549,5,-0.5,,1,NA,-2.5,2,0,SC,16,W,NA
2,5,5,3,,,,,1,3,0,2,oep739p,32,462.1000000014901,4,0.5,,0,2,2.5,1,0,SC,16,W,NA
2,5,5,3,,,,,1,3,0,2,oep739p,32,289.19999999925494,1,-0.5,,1,1,-3.5,2,0,SC,16,W,NA
5,5,5,4,,,,,1,0,2,3,oep739p,33,438.20000000298023,4,0.5,,1,2,1.5,1,1,SC,16,W,NA
5,5,5,4,,,,,1,0,2,3,oep739p,33,266.3999999985099,5,0.5,,0,NA,1.5,2,0,SC,16,W,NA
3,5,5,5,,,,,0,1,3,2,oep739p,34,489.8999999985099,2,-0.5,,1,2,-2.5,1,0,SC,16,W,NA
3,5,5,5,,,,,0,1,3,2,oep739p,34,314.80000000074506,5,-0.5,,0,NA,-2.5,2,1,SC,16,W,NA
4,5,4,4,,,,,0,3,2,1,oep739p,35,1100,4,-0.5,,0,2,0.5,1,0,SC,16,W,NA
4,5,4,4,,,,,0,3,2,1,oep739p,35,318.0999999977648,3,0.5,,1,1,1.5,2,1,SC,16,W,NA
2,6,3,4,,,,,0,2,3,1,oep739p,36,1591.199999999255,5,-0.5,,0,NA,0.5,1,0,SC,16,W,NA
2,6,3,4,,,,,0,2,3,1,oep739p,36,381,3,-0.5,,0,1,2.5,2,0,SC,16,W,NA
5,4,4,4,,,,,2,1,0,3,oep739p,37,329.5,1,0.5,,0,1,1.5,1,0,SC,16,W,NA
5,4,4,4,,,,,2,1,0,3,oep739p,37,1792.0999999977648,5,0.5,,0,NA,1.5,2,0,SC,16,W,NA
6,2,2,3,,,,,2,0,3,1,oep739p,38,1480.800000000745,1,0.5,,0,1,4.5,1,0,SC,16,W,NA
6,2,2,3,,,,,2,0,3,1,oep739p,38,767.1999999992549,5,-0.5,,1,NA,2.5,2,1,SC,16,W,NA
6,3,3,3,,,,,3,1,2,0,oep739p,39,288.19999999925494,1,-0.5,,0,1,2.5,1,0,SC,16,W,NA
6,3,3,3,,,,,3,1,2,0,oep739p,39,861.3999999985099,4,-0.5,,1,2,-0.5,2,0,SC,16,W,NA
3,3,5,2,,,,,0,2,1,3,oep739p,40,741,5,-0.5,,1,NA,-1.5,1,0,SC,16,W,NA
3,3,5,2,,,,,0,2,1,3,oep739p,40,826.2000000029802,2,-0.5,,0,2,0.5,2,0,SC,16,W,NA
3,5,4,4,,,,,1,2,3,0,oep739p,41,265.5999999977648,2,0.5,,0,2,-0.5,1,1,SC,16,W,NA
3,5,4,4,,,,,1,2,3,0,oep739p,41,639.9000000022352,5,-0.5,,1,NA,-0.5,2,0,SC,16,W,NA
3,5,3,4,,,,,3,2,0,1,oep739p,42,105.80000000074506,5,-0.5,,1,NA,0.5,1,1,SC,16,W,NA
3,5,3,4,,,,,3,2,0,1,oep739p,42,462,4,-0.5,,0,2,0.5,2,0,SC,16,W,NA
2,4,5,3,,,,,2,0,1,3,oep739p,43,418.80000000074506,1,-0.5,,0,1,-3.5,1,1,SC,16,W,NA
2,4,5,3,,,,,2,0,1,3,oep739p,43,1066.9000000022352,3,-0.5,,1,1,-1.5,2,0,SC,16,W,NA
4,3,3,5,,,,,2,3,0,1,oep739p,44,6152.10000000149,4,0.5,,0,2,-1.5,1,1,SC,16,W,NA
4,3,3,5,,,,,2,3,0,1,oep739p,44,45.19999999925494,1,0.5,,1,1,1.5,2,1,SC,16,W,NA
3,4,5,4,,,,,3,2,1,0,oep739p,45,434.20000000298023,3,0.5,,1,1,-0.5,1,0,SC,16,W,NA
3,4,5,4,,,,,3,2,1,0,oep739p,45,0.30000000074505806,5,-0.5,,0,NA,-2.5,2,1,SC,16,W,NA
4,3,3,3,,,,,3,1,0,2,oep739p,46,1798.5999999977648,5,0.5,,0,NA,1.5,1,0,SC,16,W,NA
4,3,3,3,,,,,3,1,0,2,oep739p,46,2477.2000000029802,3,-0.5,,0,1,-0.5,2,1,SC,16,W,NA
4,1,5,2,,,,,3,0,2,1,oep739p,47,2060.5,2,0.5,,0,2,2.5,1,0,SC,16,W,NA
4,1,5,2,,,,,3,0,2,1,oep739p,47,3422.300000000745,1,-0.5,,0,1,-1.5,2,1,SC,16,W,NA
3,3,4,4,,,,,3,0,1,2,oep739p,48,1189.0999999977648,4,-0.5,,0,2,-1.5,1,1,SC,16,W,NA
3,3,4,4,,,,,3,0,1,2,oep739p,48,78.60000000149012,5,0.5,,0,NA,-1.5,2,1,SC,16,W,NA
6,4,4,2,,,,,3,2,0,1,oep739p,49,1189.5,2,0.5,,0,2,4.5,1,0,SC,16,W,NA
6,4,4,2,,,,,3,2,0,1,oep739p,49,462.0999999977648,5,0.5,,1,NA,4.5,2,1,SC,16,W,NA
4,4,4,4,,,,,0,2,1,3,oep739p,50,1738.5999999977648,5,-0.5,,0,NA,-0.5,1,1,SC,16,W,NA
4,4,4,4,,,,,0,2,1,3,oep739p,50,2414.10000000149,2,-0.5,,0,2,-0.5,2,1,SC,16,W,NA
4,3,2,5,,,,,2,0,3,1,oep739p,51,167.5,3,-0.5,,0,1,0.5,1,0,SC,16,W,NA
4,3,2,5,,,,,2,0,3,1,oep739p,51,845.6999999992549,4,-0.5,,0,2,-2.5,2,1,SC,16,W,NA
4,3,3,4,,,,,1,0,3,2,oep739p,52,1633.9000000022352,5,0.5,,0,NA,0.5,1,0,SC,16,W,NA
4,3,3,4,,,,,1,0,3,2,oep739p,52,520.5,1,0.5,,1,1,1.5,2,1,SC,16,W,NA
