S,P,O1,O2,S_perf,P_perf,O1_perf,O2_perf,pos1,pos2,pos3,pos4,subject_id,trial,rt,decision_type,bonus,response,response_n,dec_OC,out_eng,dec_num_n,correct,init,age,sex,version
5,4,5,5,,,,,1,3,0,2,kl9f9nu,26,1381,3,-0.5,,0,1,-1.5,1,1,GM,32,W,B
5,4,5,5,,,,,1,3,0,2,kl9f9nu,26,2291.4000000003725,2,-0.5,,1,2,-0.5,2,0,GM,32,W,B
2,6,5,4,,,,,0,2,1,3,kl9f9nu,27,2349.5999999996275,1,0.5,,0,1,-2.5,1,1,GM,32,W,B
2,6,5,4,,,,,0,2,1,3,kl9f9nu,27,982.6999999992549,4,-0.5,,1,2,1.5,2,1,GM,32,W,B
2,4,6,2,,,,,0,2,3,1,kl9f9nu,28,6081.200000001118,5,-0.5,,1,NA,-2.5,1,0,GM,32,W,B
2,4,6,2,,,,,0,2,3,1,kl9f9nu,28,1671.199999999255,4,0.5,,1,2,2.5,2,1,GM,32,W,B
4,2,2,3,,,,,3,0,1,2,kl9f9nu,29,1215.5999999996275,5,0.5,,1,NA,1.5,1,1,GM,32,W,B
4,2,2,3,,,,,3,0,1,2,kl9f9nu,29,1158.7999999988824,3,0.5,,1,1,0.5,2,1,GM,32,W,B
3,3,5,3,,,,,2,3,0,1,kl9f9nu,30,2284.7999999988824,5,0.5,,0,NA,-1.5,1,1,GM,32,W,B
3,3,5,3,,,,,2,3,0,1,kl9f9nu,30,950.4000000003725,1,-0.5,,0,1,-2.5,2,1,GM,32,W,B
3,3,4,4,,,,,3,0,2,1,kl9f9nu,31,1184.1000000014901,4,-0.5,,0,2,-1.5,1,1,GM,32,W,B
3,3,4,4,,,,,3,0,2,1,kl9f9nu,31,661.9000000003725,5,-0.5,,0,NA,-2.5,2,1,GM,32,W,B
5,2,5,3,,,,,0,1,3,2,kl9f9nu,32,4157.700000001118,2,0.5,,1,2,2.5,1,1,GM,32,W,B
5,2,5,3,,,,,0,1,3,2,kl9f9nu,32,2357.89999999851,3,-0.5,,0,1,-3.5,2,1,GM,32,W,B
5,5,5,4,,,,,1,3,2,0,kl9f9nu,33,1109,2,0.5,,1,2,1.5,1,1,GM,32,W,B
5,5,5,4,,,,,1,3,2,0,kl9f9nu,33,965.9000000003725,5,0.5,,1,NA,1.5,2,1,GM,32,W,B
5,3,5,5,,,,,0,3,2,1,kl9f9nu,34,1469.9000000003725,4,-0.5,,0,2,-2.5,1,1,GM,32,W,B
5,3,5,5,,,,,0,3,2,1,kl9f9nu,34,1017.7999999988824,5,-0.5,,0,NA,-2.5,2,1,GM,32,W,B
5,4,4,4,,,,,1,0,3,2,kl9f9nu,35,1676.5999999996275,2,-0.5,,1,2,0.5,1,1,GM,32,W,B
5,4,4,4,,,,,1,0,3,2,kl9f9nu,35,1094,1,0.5,,1,1,1.5,2,1,GM,32,W,B
6,2,3,4,,,,,3,2,0,1,kl9f9nu,36,4203.700000001118,5,-0.5,,1,NA,0.5,1,1,GM,32,W,B
6,2,3,4,,,,,3,2,0,1,kl9f9nu,36,1047.300000000745,1,-0.5,,1,1,2.5,2,1,GM,32,W,B
4,5,4,4,,,,,2,0,3,1,kl9f9nu,37,1085.0999999996275,3,0.5,,1,1,1.5,1,1,GM,32,W,B
4,5,4,4,,,,,2,0,3,1,kl9f9nu,37,1239.0999999996275,5,0.5,,1,NA,1.5,2,1,GM,32,W,B
2,6,2,3,,,,,2,3,1,0,kl9f9nu,38,1048,3,0.5,,1,1,4.5,1,1,GM,32,W,B
2,6,2,3,,,,,2,3,1,0,kl9f9nu,38,533.3999999985099,5,-0.5,,1,NA,2.5,2,1,GM,32,W,B
3,6,3,3,,,,,2,0,1,3,kl9f9nu,39,1312.800000000745,3,-0.5,,1,1,2.5,1,1,GM,32,W,B
3,6,3,3,,,,,2,0,1,3,kl9f9nu,39,1654.2999999988824,2,-0.5,,1,2,-0.5,2,0,GM,32,W,B
3,3,5,2,,,,,1,0,2,3,kl9f9nu,40,2069.9000000003725,5,-0.5,,0,NA,-1.5,1,1,GM,32,W,B
3,3,5,2,,,,,1,0,2,3,kl9f9nu,40,1844.800000000745,4,-0.5,,1,2,0.5,2,1,GM,32,W,B
5,3,4,4,,,,,3,2,1,0,kl9f9nu,41,1153.9000000003725,4,0.5,,0,2,-0.5,1,1,GM,32,W,B
5,3,4,4,,,,,3,2,1,0,kl9f9nu,41,4037.7999999988824,5,-0.5,,0,NA,-0.5,2,1,GM,32,W,B
5,3,3,4,,,,,1,2,0,3,kl9f9nu,42,1784,5,-0.5,,1,NA,0.5,1,1,GM,32,W,B
5,3,3,4,,,,,1,2,0,3,kl9f9nu,42,1063.300000000745,2,-0.5,,1,2,0.5,2,1,GM,32,W,B
4,2,5,3,,,,,2,1,0,3,kl9f9nu,43,1066.7000000011176,3,-0.5,,0,1,-3.5,1,1,GM,32,W,B
4,2,5,3,,,,,2,1,0,3,kl9f9nu,43,1129.4000000003725,1,-0.5,,0,1,-1.5,2,1,GM,32,W,B
3,4,3,5,,,,,3,1,2,0,kl9f9nu,44,1341.0999999996275,2,0.5,,0,2,-1.5,1,1,GM,32,W,B
3,4,3,5,,,,,3,1,2,0,kl9f9nu,44,2597.699999999255,3,0.5,,1,1,1.5,2,1,GM,32,W,B
4,3,5,4,,,,,3,1,0,2,kl9f9nu,45,1431.800000000745,1,0.5,,0,1,-0.5,1,1,GM,32,W,B
4,3,5,4,,,,,3,1,0,2,kl9f9nu,45,1656.2000000011176,5,-0.5,,0,NA,-2.5,2,1,GM,32,W,B
3,4,3,3,,,,,2,1,3,0,kl9f9nu,46,1332.800000000745,5,0.5,,0,NA,1.5,1,0,GM,32,W,B
3,4,3,3,,,,,2,1,3,0,kl9f9nu,46,2197.800000000745,1,-0.5,,0,1,-0.5,2,1,GM,32,W,B
1,4,5,2,,,,,0,3,1,2,kl9f9nu,47,3060.699999999255,4,0.5,,1,2,2.5,1,1,GM,32,W,B
1,4,5,2,,,,,0,3,1,2,kl9f9nu,47,1606,3,-0.5,,0,1,-1.5,2,1,GM,32,W,B
3,3,4,4,,,,,1,2,3,0,kl9f9nu,48,2998.2000000011176,2,-0.5,,0,2,-1.5,1,1,GM,32,W,B
3,3,4,4,,,,,1,2,3,0,kl9f9nu,48,1366.300000000745,5,0.5,,0,NA,-1.5,2,1,GM,32,W,B
4,6,4,2,,,,,3,0,2,1,kl9f9nu,49,903.1000000014901,4,0.5,,1,2,4.5,1,1,GM,32,W,B
4,6,4,2,,,,,3,0,2,1,kl9f9nu,49,964.2000000011176,5,0.5,,1,NA,4.5,2,1,GM,32,W,B
4,4,4,4,,,,,0,3,2,1,kl9f9nu,50,1889.9000000003725,5,-0.5,,0,NA,-0.5,1,1,GM,32,W,B
4,4,4,4,,,,,0,3,2,1,kl9f9nu,50,1317.7000000011176,4,-0.5,,0,2,-0.5,2,1,GM,32,W,B
3,4,2,5,,,,,2,0,1,3,kl9f9nu,51,3240.5999999996275,1,-0.5,,0,1,0.5,1,0,GM,32,W,B
3,4,2,5,,,,,2,0,1,3,kl9f9nu,51,1430.5,2,-0.5,,1,2,-2.5,2,0,GM,32,W,B
3,4,3,4,,,,,1,0,2,3,kl9f9nu,52,2003.9000000003725,5,0.5,,1,NA,0.5,1,1,GM,32,W,B
3,4,3,4,,,,,1,0,2,3,kl9f9nu,52,2582.9000000003725,3,0.5,,1,1,1.5,2,1,GM,32,W,B
2,2,6,4,,,,,0,2,3,1,kl9f9nu,53,1924.1000000014901,1,-0.5,,0,1,-4.5,1,1,GM,32,W,B
2,2,6,4,,,,,0,2,3,1,kl9f9nu,53,1171.699999999255,5,-0.5,,0,NA,-6.5,2,1,GM,32,W,B
6,4,3,6,,,,,0,3,1,2,kl9f9nu,54,2225.10000000149,5,-0.5,,1,NA,0.5,1,1,GM,32,W,B
6,4,3,6,,,,,0,3,1,2,kl9f9nu,54,1044.6000000014901,1,-0.5,,1,1,2.5,2,1,GM,32,W,B
4,4,3,5,,,,,2,3,1,0,kl9f9nu,55,1628.5,5,0.5,,1,NA,0.5,1,1,GM,32,W,B
4,4,3,5,,,,,2,3,1,0,kl9f9nu,55,1176.2999999988824,1,-0.5,,1,1,0.5,2,1,GM,32,W,B
4,4,3,6,,,,,3,1,0,2,kl9f9nu,56,1377.699999999255,3,-0.5,,1,1,0.5,1,1,GM,32,W,B
4,4,3,6,,,,,3,1,0,2,kl9f9nu,56,1547.5999999996275,4,-0.5,,0,2,-2.5,2,1,GM,32,W,B
4,4,4,3,,,,,2,1,3,0,kl9f9nu,57,3453.5999999996275,5,-0.5,,1,NA,0.5,1,1,GM,32,W,B
4,4,4,3,,,,,2,1,3,0,kl9f9nu,57,2582.7999999988824,3,0.5,,1,1,0.5,2,1,GM,32,W,B
3,5,3,1,,,,,3,0,1,2,kl9f9nu,58,5311.799999998882,1,-0.5,,0,1,-0.5,1,1,GM,32,W,B
3,5,3,1,,,,,3,0,1,2,kl9f9nu,58,1941.5999999996275,3,-0.5,,1,1,1.5,2,1,GM,32,W,B
4,5,4,4,,,,,2,0,3,1,kl9f9nu,59,1524.800000000745,1,0.5,,1,1,0.5,1,1,GM,32,W,B
4,5,4,4,,,,,2,0,3,1,kl9f9nu,59,1206.199999999255,5,-0.5,,1,NA,0.5,2,1,GM,32,W,B
3,4,2,4,,,,,0,2,1,3,kl9f9nu,60,2338.9000000003725,5,0.5,,1,NA,1.5,1,1,GM,32,W,B
3,4,2,4,,,,,0,2,1,3,kl9f9nu,60,2069.800000000745,2,-0.5,,0,2,-1.5,2,1,GM,32,W,B
4,2,3,4,,,,,2,1,0,3,kl9f9nu,61,2971.4000000003725,5,-0.5,,1,NA,-1.5,1,0,GM,32,W,B
4,2,3,4,,,,,2,1,0,3,kl9f9nu,61,791.5,2,-0.5,,1,2,-0.5,2,0,GM,32,W,B
2,4,3,3,,,,,2,3,0,1,kl9f9nu,62,3078.89999999851,3,-0.5,,1,1,0.5,1,1,GM,32,W,B
2,4,3,3,,,,,2,3,0,1,kl9f9nu,62,3702.7999999988824,5,-0.5,,1,NA,-0.5,2,0,GM,32,W,B
4,4,4,4,,,,,3,2,1,0,kl9f9nu,63,1458.2000000011176,4,0.5,,1,2,0.5,1,1,GM,32,W,B
4,4,4,4,,,,,3,2,1,0,kl9f9nu,63,1414.5999999996275,5,-0.5,,0,NA,-0.5,2,1,GM,32,W,B
3,2,4,1,,,,,3,1,2,0,kl9f9nu,64,3396.800000000745,5,0.5,,1,NA,0.5,1,1,GM,32,W,B
3,2,4,1,,,,,3,1,2,0,kl9f9nu,64,1188.5999999996275,3,-0.5,,0,1,-2.5,2,1,GM,32,W,B
4,2,6,5,,,,,1,2,3,0,kl9f9nu,65,1380.800000000745,2,0.5,,0,2,-0.5,1,1,GM,32,W,B
4,2,6,5,,,,,1,2,3,0,kl9f9nu,65,1081.4000000003725,5,0.5,,0,NA,-4.5,2,1,GM,32,W,B
3,2,2,5,,,,,3,2,0,1,kl9f9nu,66,2779.5999999996275,5,0.5,,0,NA,-1.5,1,1,GM,32,W,B
3,2,2,5,,,,,3,2,0,1,kl9f9nu,66,1531.199999999255,4,-0.5,,0,2,-3.5,2,1,GM,32,W,B
1,4,3,3,,,,,0,1,2,3,kl9f9nu,67,1302.7999999988824,2,-0.5,,0,2,-2.5,1,1,GM,32,W,B
1,4,3,3,,,,,0,1,2,3,kl9f9nu,67,1094.5,1,0.5,,0,1,-1.5,2,1,GM,32,W,B
3,4,4,4,,,,,1,3,0,2,kl9f9nu,68,1118.9000000003725,1,-0.5,,0,1,-1.5,1,1,GM,32,W,B
3,4,4,4,,,,,1,3,0,2,kl9f9nu,68,1556.6000000014901,4,-0.5,,0,2,-0.5,2,1,GM,32,W,B
3,2,6,3,,,,,1,3,2,0,kl9f9nu,69,3623,2,-0.5,,0,2,-0.5,1,1,GM,32,W,B
3,2,6,3,,,,,1,3,2,0,kl9f9nu,69,1589.7000000011176,5,0.5,,0,NA,-3.5,2,1,GM,32,W,B
5,5,4,5,,,,,1,2,0,3,kl9f9nu,70,1297.199999999255,2,0.5,,1,2,0.5,1,1,GM,32,W,B
5,5,4,5,,,,,1,2,0,3,kl9f9nu,70,3077.0999999996275,4,-0.5,,0,2,-0.5,2,1,GM,32,W,B
5,3,5,0,,,,,0,1,3,2,kl9f9nu,71,1131.2999999988824,4,-0.5,,1,2,2.5,1,1,GM,32,W,B
5,3,5,0,,,,,0,1,3,2,kl9f9nu,71,1159.7000000011176,1,-0.5,,1,1,-0.5,2,0,GM,32,W,B
4,4,4,2,,,,,1,0,3,2,kl9f9nu,72,2148.7999999988824,4,-0.5,,1,2,1.5,1,1,GM,32,W,B
4,4,4,2,,,,,1,0,3,2,kl9f9nu,72,1094.5,2,-0.5,,1,2,1.5,2,1,GM,32,W,B
5,3,3,4,,,,,2,0,1,3,kl9f9nu,73,1022.8000000007451,2,-0.5,,1,2,0.5,1,1,GM,32,W,B
5,3,3,4,,,,,2,0,1,3,kl9f9nu,73,2136.0999999996275,4,0.5,,0,2,-0.5,2,1,GM,32,W,B
3,3,2,4,,,,,1,2,0,3,kl9f9nu,74,2754.0999999996275,5,0.5,,0,NA,0.5,1,0,GM,32,W,B
3,3,2,4,,,,,1,2,0,3,kl9f9nu,74,2646.2000000011176,1,0.5,,0,1,1.5,2,0,GM,32,W,B
5,3,3,2,,,,,1,3,0,2,kl9f9nu,75,3168,3,-0.5,,0,1,-0.5,1,1,GM,32,W,B
5,3,3,2,,,,,1,3,0,2,kl9f9nu,75,1940.300000000745,5,0.5,,1,NA,3.5,2,1,GM,32,W,B
3,3,5,5,,,,,2,3,0,1,kl9f9nu,76,1193.0999999996275,1,0.5,,0,1,-1.5,1,1,GM,32,W,B
3,3,5,5,,,,,2,3,0,1,kl9f9nu,76,1365.800000000745,2,0.5,,0,2,-1.5,2,1,GM,32,W,B
2,0,4,3,,,,,3,2,1,0,kl9f9nu,77,999.6000000014901,2,0.5,,0,2,-0.5,1,1,GM,32,W,B
2,0,4,3,,,,,3,2,1,0,kl9f9nu,77,1318.300000000745,1,-0.5,,0,1,-2.5,2,1,GM,32,W,B
4,2,2,4,,,,,0,2,3,1,kl9f9nu,78,4204.700000001118,1,0.5,,1,1,2.5,1,1,GM,32,W,B
4,2,2,4,,,,,0,2,3,1,kl9f9nu,78,1076.5,3,-0.5,,0,1,-0.5,2,1,GM,32,W,B
5,5,3,3,,,,,2,3,1,0,kl9f9nu,79,1122.7999999988824,3,0.5,,1,1,2.5,1,1,GM,32,W,B
5,5,3,3,,,,,2,3,1,0,kl9f9nu,79,981.0999999996275,5,-0.5,,1,NA,3.5,2,1,GM,32,W,B
3,2,6,4,,,,,0,3,1,2,kl9f9nu,80,1322.699999999255,1,-0.5,,0,1,-3.5,1,1,GM,32,W,B
3,2,6,4,,,,,0,3,1,2,kl9f9nu,80,1430.7000000011176,5,0.5,,0,NA,-4.5,2,1,GM,32,W,B
5,5,3,3,,,,,1,2,3,0,kl9f9nu,81,1246.0999999996275,4,-0.5,,1,2,1.5,1,1,GM,32,W,B
5,5,3,3,,,,,1,2,3,0,kl9f9nu,81,724.8000000007451,1,-0.5,,1,1,1.5,2,1,GM,32,W,B
4,1,6,5,,,,,2,0,3,1,kl9f9nu,82,1165.5,2,0.5,,0,2,-0.5,1,1,GM,32,W,B
4,1,6,5,,,,,2,0,3,1,kl9f9nu,82,998.6999999992549,5,0.5,,0,NA,-5.5,2,1,GM,32,W,B
5,4,4,6,,,,,0,1,2,3,kl9f9nu,83,1840.3999999985099,4,0.5,,0,2,-1.5,1,1,GM,32,W,B
5,4,4,6,,,,,0,1,2,3,kl9f9nu,83,998,2,0.5,,0,2,-0.5,2,1,GM,32,W,B
5,2,3,4,,,,,0,2,1,3,kl9f9nu,84,1687.5,5,0.5,,1,NA,0.5,1,1,GM,32,W,B
5,2,3,4,,,,,0,2,1,3,kl9f9nu,84,4229.800000000745,3,-0.5,,1,1,-1.5,2,0,GM,32,W,B
4,4,6,4,,,,,3,2,0,1,kl9f9nu,85,1473.7000000011176,4,0.5,,0,2,0.5,1,0,GM,32,W,B
4,4,6,4,,,,,3,2,0,1,kl9f9nu,85,985.7000000011176,5,0.5,,0,NA,-1.5,2,1,GM,32,W,B
4,4,6,4,,,,,3,1,0,2,kl9f9nu,86,1786.5,2,0.5,,1,2,0.5,1,1,GM,32,W,B
4,4,6,4,,,,,3,1,0,2,kl9f9nu,86,1001.3000000007451,5,-0.5,,0,NA,-2.5,2,1,GM,32,W,B
4,3,4,5,,,,,0,3,2,1,kl9f9nu,87,4117.9000000003725,1,0.5,,1,1,0.5,1,1,GM,32,W,B
4,3,4,5,,,,,0,3,2,1,kl9f9nu,87,823.0999999996275,4,0.5,,0,2,-1.5,2,1,GM,32,W,B
5,3,4,2,,,,,1,0,3,2,kl9f9nu,88,1798.2999999988824,2,-0.5,,1,2,2.5,1,1,GM,32,W,B
5,3,4,2,,,,,1,0,3,2,kl9f9nu,88,1114.7000000011176,5,-0.5,,1,NA,1.5,2,1,GM,32,W,B
2,4,3,5,,,,,2,1,3,0,kl9f9nu,89,3003.800000000745,3,0.5,,1,1,1.5,1,1,GM,32,W,B
2,4,3,5,,,,,2,1,3,0,kl9f9nu,89,997.9000000003725,2,0.5,,0,2,-2.5,2,1,GM,32,W,B
3,4,4,4,,,,,3,1,2,0,kl9f9nu,90,1844.199999999255,5,0.5,,0,NA,-0.5,1,1,GM,32,W,B
3,4,4,4,,,,,3,1,2,0,kl9f9nu,90,1892.5,4,-0.5,,0,2,-0.5,2,1,GM,32,W,B
5,1,1,3,,,,,1,3,2,0,kl9f9nu,91,1256.0999999996275,5,-0.5,,1,NA,1.5,1,1,GM,32,W,B
5,1,1,3,,,,,1,3,2,0,kl9f9nu,91,1046.0999999996275,1,-0.5,,1,1,3.5,2,1,GM,32,W,B
3,3,4,3,,,,,2,1,0,3,kl9f9nu,92,1176,5,-0.5,,0,NA,-1.5,1,1,GM,32,W,B
3,3,4,3,,,,,2,1,0,3,kl9f9nu,92,1972.5999999996275,2,-0.5,,0,2,-0.5,2,1,GM,32,W,B
1,5,5,6,,,,,3,0,1,2,kl9f9nu,93,1435.8999999985099,5,0.5,,0,NA,-4.5,1,1,GM,32,W,B
1,5,5,6,,,,,3,0,1,2,kl9f9nu,93,1625.7000000011176,4,-0.5,,0,2,-1.5,2,1,GM,32,W,B
3,5,5,5,,,,,3,0,2,1,kl9f9nu,94,2330.7000000011176,4,0.5,,1,2,0.5,1,1,GM,32,W,B
3,5,5,5,,,,,3,0,2,1,kl9f9nu,94,1034.9000000003725,5,-0.5,,0,NA,-2.5,2,1,GM,32,W,B
4,1,4,4,,,,,0,1,3,2,kl9f9nu,95,1132.300000000745,5,-0.5,,0,NA,-3.5,1,1,GM,32,W,B
4,1,4,4,,,,,0,1,3,2,kl9f9nu,95,1285.300000000745,1,0.5,,1,1,0.5,2,1,GM,32,W,B
4,0,4,6,,,,,1,0,2,3,kl9f9nu,96,1761.199999999255,3,0.5,,0,1,-3.5,1,1,GM,32,W,B
4,0,4,6,,,,,1,0,2,3,kl9f9nu,96,1062.199999999255,4,0.5,,0,2,-5.5,2,1,GM,32,W,B
1,4,4,5,,,,,2,1,0,3,kl9f9nu,97,1669.5,3,0.5,,1,1,0.5,1,1,GM,32,W,B
1,4,4,5,,,,,2,1,0,3,kl9f9nu,97,1241.800000000745,5,0.5,,0,NA,-3.5,2,1,GM,32,W,B
4,3,4,3,,,,,1,0,2,3,kl9f9nu,98,1625.7999999988824,1,0.5,,1,1,0.5,1,1,GM,32,W,B
4,3,4,3,,,,,1,0,2,3,kl9f9nu,98,2981.2999999988824,5,0.5,,0,NA,0.5,2,0,GM,32,W,B
5,5,2,5,,,,,1,2,0,3,kl9f9nu,99,2056.89999999851,5,0.5,,1,NA,3.5,1,1,GM,32,W,B
5,5,2,5,,,,,1,2,0,3,kl9f9nu,99,4038.2000000011176,3,-0.5,,1,1,2.5,2,1,GM,32,W,B
5,5,4,4,,,,,0,1,3,2,kl9f9nu,100,1194.699999999255,5,-0.5,,1,NA,1.5,1,1,GM,32,W,B
5,5,4,4,,,,,0,1,3,2,kl9f9nu,100,676.5,2,0.5,,1,2,1.5,2,1,GM,32,W,B
4,4,4,3,,,,,1,3,2,0,kl9f9nu,101,2505.7999999988824,3,-0.5,,0,1,-0.5,1,1,GM,32,W,B
4,4,4,3,,,,,1,3,2,0,kl9f9nu,101,2324.5,1,-0.5,,0,1,-0.5,2,1,GM,32,W,B
4,3,6,2,,,,,0,3,2,1,kl9f9nu,102,4590.700000001118,5,-0.5,,0,NA,-1.5,1,1,GM,32,W,B
4,3,6,2,,,,,0,3,2,1,kl9f9nu,102,1223,2,0.5,,1,2,2.5,2,1,GM,32,W,B
3,1,5,5,,,,,3,1,2,0,kl9f9nu,103,1374.7999999988824,1,0.5,,0,1,-1.5,1,1,GM,32,W,B
3,1,5,5,,,,,3,1,2,0,kl9f9nu,103,1796.7000000011176,5,-0.5,,0,NA,-6.5,2,1,GM,32,W,B
5,3,3,4,,,,,3,2,1,0,kl9f9nu,104,3141.699999999255,4,0.5,,0,2,-0.5,1,1,GM,32,W,B
5,3,3,4,,,,,3,2,1,0,kl9f9nu,104,1285.8999999985099,3,0.5,,0,1,0.5,2,0,GM,32,W,B
4,4,3,4,,,,,1,3,0,2,kl9f9nu,105,1518.8999999985099,2,0.5,,1,2,0.5,1,1,GM,32,W,B
4,4,3,4,,,,,1,3,0,2,kl9f9nu,105,1076.5999999996275,3,0.5,,1,1,1.5,2,1,GM,32,W,B
2,3,3,6,,,,,1,0,3,2,kl9f9nu,106,1379.7999999988824,5,-0.5,,0,NA,-4.5,1,1,GM,32,W,B
2,3,3,6,,,,,1,0,3,2,kl9f9nu,106,2724.5,3,0.5,,1,1,0.5,2,1,GM,32,W,B
3,5,3,4,,,,,3,0,1,2,kl9f9nu,107,1298.9000000003725,4,-0.5,,1,2,0.5,1,1,GM,32,W,B
3,5,3,4,,,,,3,0,1,2,kl9f9nu,107,1956.5999999996275,5,0.5,,1,NA,1.5,2,1,GM,32,W,B
6,3,3,3,,,,,2,0,3,1,kl9f9nu,108,1546.699999999255,5,0.5,,0,NA,3.5,1,0,GM,32,W,B
6,3,3,3,,,,,2,0,3,1,kl9f9nu,108,837.8000000007451,4,-0.5,,0,2,-0.5,2,1,GM,32,W,B
4,6,5,4,,,,,2,1,3,0,uhb33a1,1,1027.800000000745,5,0.5,,1,NA,1.5,1,1,CS,26,W,A
4,6,5,4,,,,,2,1,3,0,uhb33a1,1,2397.5,2,0.5,,1,2,0.5,2,1,CS,26,W,A
2,4,4,5,,,,,0,3,2,1,uhb33a1,2,1035.5,1,0.5,,0,1,-1.5,1,1,CS,26,W,A
2,4,4,5,,,,,0,3,2,1,uhb33a1,2,2345.699999999255,5,-0.5,,1,NA,-3.5,2,0,CS,26,W,A
1,5,3,2,,,,,2,3,1,0,uhb33a1,3,2490.9000000003725,5,-0.5,,0,NA,0.5,1,0,CS,26,W,A
1,5,3,2,,,,,2,3,1,0,uhb33a1,3,1707,4,0.5,,1,2,3.5,2,1,CS,26,W,A
5,2,5,3,,,,,3,0,2,1,uhb33a1,4,2741.7000000011176,5,-0.5,,1,NA,-1.5,1,0,CS,26,W,A
5,2,5,3,,,,,3,0,2,1,uhb33a1,4,1052.300000000745,1,0.5,,1,1,0.5,2,1,CS,26,W,A
3,4,4,3,,,,,3,2,1,0,uhb33a1,5,1454.3999999985099,2,0.5,,0,2,0.5,1,0,CS,26,W,A
3,4,4,3,,,,,3,2,1,0,uhb33a1,5,3181.4000000003725,5,0.5,,1,NA,0.5,2,1,CS,26,W,A
4,5,4,5,,,,,1,2,0,3,uhb33a1,6,1642.5,4,-0.5,,0,2,-0.5,1,1,CS,26,W,A
4,5,4,5,,,,,1,2,0,3,uhb33a1,6,1130.5999999996275,2,-0.5,,0,2,-1.5,2,1,CS,26,W,A
5,4,3,3,,,,,1,3,0,2,uhb33a1,7,827.5999999996275,5,-0.5,,1,NA,2.5,1,1,CS,26,W,A
5,4,3,3,,,,,1,3,0,2,uhb33a1,7,1531.0999999996275,4,-0.5,,1,2,0.5,2,1,CS,26,W,A
5,4,3,5,,,,,1,0,2,3,uhb33a1,8,916.3000000007451,1,-0.5,,1,1,1.5,1,1,CS,26,W,A
5,4,3,5,,,,,1,0,2,3,uhb33a1,8,990.3000000007451,2,-0.5,,1,2,-0.5,2,0,CS,26,W,A
4,4,4,4,,,,,0,1,3,2,uhb33a1,9,1240.5,2,0.5,,1,2,0.5,1,1,CS,26,W,A
4,4,4,4,,,,,0,1,3,2,uhb33a1,9,1724.699999999255,1,-0.5,,1,1,-0.5,2,0,CS,26,W,A
4,5,2,4,,,,,3,1,2,0,uhb33a1,10,1672.3999999985099,3,0.5,,1,1,3.5,1,1,CS,26,W,A
4,5,2,4,,,,,3,1,2,0,uhb33a1,10,894.4000000003725,5,-0.5,,0,NA,2.5,2,0,CS,26,W,A
3,4,5,2,,,,,0,2,1,3,uhb33a1,11,645.1999999992549,1,0.5,,0,1,-1.5,1,1,CS,26,W,A
3,4,5,2,,,,,0,2,1,3,uhb33a1,11,766.2000000011176,3,0.5,,0,1,-0.5,2,1,CS,26,W,A
3,2,5,6,,,,,1,3,2,0,uhb33a1,12,639.7999999988824,2,0.5,,0,2,-2.5,1,1,CS,26,W,A
3,2,5,6,,,,,1,3,2,0,uhb33a1,12,586.7999999988824,4,-0.5,,0,2,-4.5,2,1,CS,26,W,A
3,6,3,4,,,,,1,0,3,2,uhb33a1,13,721.1999999992549,4,-0.5,,1,2,1.5,1,1,CS,26,W,A
3,6,3,4,,,,,1,0,3,2,uhb33a1,13,2877.9000000003725,5,-0.5,,0,NA,1.5,2,0,CS,26,W,A
3,4,1,2,,,,,2,1,0,3,uhb33a1,14,1192.6000000014901,5,0.5,,1,NA,4.5,1,1,CS,26,W,A
3,4,1,2,,,,,2,1,0,3,uhb33a1,14,649.7000000011176,1,0.5,,1,1,2.5,2,1,CS,26,W,A
4,4,2,5,,,,,2,0,3,1,uhb33a1,15,3038.199999999255,5,-0.5,,1,NA,0.5,1,1,CS,26,W,A
4,4,2,5,,,,,2,0,3,1,uhb33a1,15,1517.7999999988824,3,-0.5,,1,1,1.5,2,1,CS,26,W,A
4,4,1,4,,,,,3,0,1,2,uhb33a1,16,903.5,3,0.5,,1,1,3.5,1,1,CS,26,W,A
4,4,1,4,,,,,3,0,1,2,uhb33a1,16,808.7000000011176,4,0.5,,1,2,0.5,2,1,CS,26,W,A
2,6,5,2,,,,,1,2,3,0,uhb33a1,17,1077.300000000745,1,-0.5,,0,1,-3.5,1,1,CS,26,W,A
2,6,5,2,,,,,1,2,3,0,uhb33a1,17,557.6999999992549,5,0.5,,0,NA,1.5,2,0,CS,26,W,A
4,5,3,4,,,,,3,1,0,2,uhb33a1,18,886.8000000007451,2,0.5,,1,2,0.5,1,1,CS,26,W,A
4,5,3,4,,,,,3,1,0,2,uhb33a1,18,2061.800000000745,3,-0.5,,1,1,1.5,2,1,CS,26,W,A
4,5,5,4,,,,,2,3,0,1,uhb33a1,19,1331.2999999988824,3,0.5,,0,1,0.5,1,0,CS,26,W,A
4,5,5,4,,,,,2,3,0,1,uhb33a1,19,877.8000000007451,5,0.5,,0,NA,0.5,2,0,CS,26,W,A
4,5,4,6,,,,,0,2,3,1,uhb33a1,20,1932.4000000003725,4,0.5,,0,2,-0.5,1,1,CS,26,W,A
4,5,4,6,,,,,0,2,3,1,uhb33a1,20,1227.9000000003725,5,-0.5,,1,NA,-1.5,2,0,CS,26,W,A
3,4,5,3,,,,,2,0,1,3,uhb33a1,21,660.0999999996275,3,0.5,,0,1,-0.5,1,1,CS,26,W,A
